OTUID	MNAW0514.1	MNAW0514.2	MNAW0515.1	MNAW0515.2	MNAW0914.1	MNAW0914.2	MNAW0915.1	MNAW0915.2	MNAW1214.1	MNAW1214.2	NAW0514.1	NAW0514.2	NAW0515.1	NAW0515.2	NAW0914.1	NAW0914.2	NAW0915.1	NAW0915.2	NAW1214.1	NAW1214.2	NSAIW0514.1	NSAIW0514.2	NSAIW0515.1	NSAIW0515.2	NSAIW0914.1	NSAIW0914.2	NSAIW0915.1	NSAIW0915.2	NSAIW1214.1	NSAIW1214.2	NSDW0514.1	NSDW0514.2	NSDW0515.1	NSDW0515.2	NSDW0914.1	NSDW0914.2	NSDW0915.1	NSDW0915.2	NSDW1214.1	NSDW1214.2
zASV463	67	178	33	113	56	43	66	87	140	73	20	22	174	228	82	80	98	238	63	55	91	40	113	140	69	50	132	98	105	34	92	49	54	31	30	460	70	36	73	14
zASV464	1	0	3	1	0	4	37	83	10	6	0	0	3	11	14	15	9	39	16	12	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0
zASV465	1175	773	95	340	215	192	769	1254	569	320	142	39	163	225	235	181	197	356	215	218	11	2	28	49	16	64	29	13	6	7	14	0	0	1	0	7	8	3	4	2
zASV466	14	140	12	18	5	11	87	109	19	23	1	0	23	14	39	23	15	43	18	26	1	0	4	1	1	6	2	7	1	2	2	0	1	0	0	3	2	1	1	0
zASV467	24	0	0	3	1	0	10	19	4	3	8	14	2	1	0	0	1	4	0	0	16	8	9	32	11	12	47	50	12	10	20	2	4	0	0	42	14	4	12	2
zASV468	27	50	8	26	4	14	42	46	38	12	7	7	28	24	22	25	12	25	18	15	56	33	57	93	53	35	85	92	52	18	32	21	29	8	3	233	33	23	39	12
zASV469	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	28	20	20	58	47	25	42	40	57	3	5	24	20	9	1	113	42	22	44	5
zASV47	219	1	9	47	44	19	107	179	57	30	90	59	16	24	64	63	23	52	34	39	424	386	123	254	319	213	380	386	235	74	519	192	316	106	105	1694	360	219	377	147
zASV470	2	72	2	11	1	5	4	18	29	14	2	4	33	40	2	0	17	42	18	2	97	72	44	67	41	26	70	57	73	14	42	60	52	49	8	294	67	68	64	20
zASV471	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18	22	18	9	28	21	26	0	0	9	6	3	0	84	20	5	14	0
zASV472	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	15	17	8	15	15	7	20	12	29	3	5	25	22	17	2	126	35	20	35	4
zASV473	60	1	7	10	11	4	49	79	11	9	40	27	6	11	8	14	7	29	7	14	1	0	1	5	2	5	3	3	2	0	2	0	0	0	0	0	0	0	0	0
